id,district,name,address,gov_url,facilities,photo_path,status
340,東區,柴灣公園,柴灣翠灣街柴灣公園,,"公園,長者健身園地, 健身站,硬地球場, 籃球場, 網球場, 緩跑徑/健身徑, 模型船池",/facilities/pi-basketball.png,Active
341,東區,英皇道遊樂場,北角英皇道,,"兒童遊樂場,滾軸溜冰場",/facilities/pi-basketball.png,Active
342,東區,北角海濱花園,香港北角渡輪碼頭,,公園,/facilities/pi-basketball.png,Active
343,東區,鰂魚涌公園,鰂魚涌近海堤街,https://www.map.gov.hk/gm/gmid/nZArw8Lcn4?lg=tc,"公園, 共融遊樂設施,長者健身園地, 草地球場, 網球場, 籃球場, 單車徑/場, 緩跑徑/健身徑",/facilities/pi-basketball.png,Active
344,東區,鰂魚涌海濱花園,鰂魚涌海裕街,,狗公園/寵物公園,/facilities/pi-basketball.png,Active
345,東區,新廈街遊樂場,新廈街,,"公園,長者健身園地",/facilities/pi-basketball.png,Active
381,油尖旺,九龍公園,尖沙咀柯士甸道22號,https://www.map.gov.hk/gm/gmid/fJjRzFzbeH?lg=tc ,"露天劇場,手球場,硬地球場,緩跑徑/健身徑,公園",/facilities/pi-basketball.png,Active
382,油尖旺,中間道兒童遊樂場,九龍尖沙咀中間道,https://www.map.gov.hk/gm/gmid/NoqFVkXgYs?lg=tc ,共融遊樂設施,/facilities/pi-basketball.png,Active
383,油尖旺,西九龍海濱長廊,西九龍填海區 (九龍柯士甸道西/雅翔道交界),,"公園, 單車徑/場",/facilities/pi-basketball.png,Active
384,油尖旺,櫻桃街公園,九龍旺角櫻桃街1號,https://www.map.gov.hk/gm/gmid/eP7Dau4kwi?lg=tc,"共融遊樂設施,長者健身園地,健身園地,露天劇場,草地球場,緩跑徑/健身徑,網球場,排球場",/facilities/pi-basketball.png,Active
385,油尖旺,園圃街雀鳥花園,旺角園圃街,,公園,/facilities/pi-basketball.png,Active
386,油尖旺,聯運街休憩處,旺角聯運街,,健身園地,/facilities/md-sports-gymnastics.jpeg,Active
396,油尖旺,京士柏休憩花園,油麻地京士柏道,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
421,南區,淺水灣泳灘,淺水灣海灘道,,健身園地,/facilities/md-sports-gymnastics.jpeg,Active
415,南區,鴨脷洲海濱長廊,香港鴨脷洲鴨脷洲大街,,"狗公園/寵物公園,共融遊樂設施,寵物共享公園,休憩處",/facilities/pi-basketball.png,Active
416,南區,淺水灣海灘兒童遊樂場,香港淺水灣泳灘道16號,https://www.map.gov.hk/gm/gmid/hkuJPLHd94?lg=tc,共融遊樂設施,/facilities/pi-basketball.png,Active
417,南區,鴨脷洲風之塔公園,香港鴨脷洲利枝道,,"露天劇場,公園,長者健身園地",/facilities/pi-basketball.png,Active
414,南區,鴨脷洲公園,香港鴨脷洲鴨脷洲大街,https://www.map.gov.hk/gm/gmid/0YahZlMnkD?lg=tc,"寵物共享公園, 共融遊樂設施",/facilities/md-pets.jpeg,Active
418,南區,洪聖街休憩花園,鴨脷洲惠風街,,寵物共享公園,/facilities/md-pets.jpeg,Active
419,南區,新八間休憩處,赤柱黄蔴角道,,寵物共享公園,/facilities/md-pets.jpeg,Active
420,南區,瀑布灣公園,華富邨瀑布灣道,,"寵物共享公園,長者健身園地",/facilities/md-pets.jpeg,Active
443,荃灣,照潭徑花園,荃灣照潭徑,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
444,荃灣,圓環公園,荃灣花園青山公路-荃灣段,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
445,荃灣,海安路遊樂場,荃灣海安路,,健身園地,/facilities/md-sports-gymnastics.jpeg,Active
438,粉嶺,孔嶺兒童遊樂場,新界粉嶺孔嶺村,,"兒童遊樂場,健體園灺",/facilities/pi-basketball.png,Active
439,粉嶺,一鳴路公園,粉嶺一鳴路與百和路交界,,"狗公園/寵物公園,健體園灺,緩跑徑/健身徑,共融遊樂設施,兒童遊樂場",/facilities/pi-basketball.png,Active
440,荃灣,城門谷公園,荃灣石圍角邨城門道21號,https://www.map.gov.hk/gm/gmid/K3dGu4TbGo?lg=tc,"共融遊樂設施,長者健身園地,公園, 硬地球場, 網球場, 籃球場, 排球場, 手球場",/facilities/pi-basketball.png,Active
441,荃灣,荃灣公園,荃灣永順街59號,https://map.gov.hk/gm/gmid/jebQerJrxW?lg=tc ,"公園,共融遊樂設施,長者健身園地,健身園地,露天劇場,單車徑/場,狗公園/寵物公園,門球場,緩跑徑/健身徑,網球場",/facilities/pi-basketball.png,Active
442,荃灣,荃灣海濱公園,荃灣怡康街2A號,,"公園,長者健身園地, 草地球場, 網球場, 籃球場, 排球場, 門球場",/facilities/pi-basketball.png,Active
446,荃灣,國瑞路公園,荃灣國瑞路,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
447,荃灣,深慈街遊樂場,荃灣深井深慈街,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
448,荃灣,荃景圍遊樂場,荃灣荃景圍,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
479,深水埗,長沙灣道／長順街遊樂場,長沙灣長沙灣道及長順街交界,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
480,深水埗,長沙灣體育館外兒童遊樂場,長沙灣長沙灣道與興華街交界,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
482,深水埗,荔枝角公園,荔枝角荔灣道1號,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
470,深水埗,深水埗公園,九龍荔枝角道733號,https://www.map.gov.hk/gm/gmid/ndGIF2Dhkh?lg=tc,"共融遊樂設施, 籃球場, 緩跑徑/健身徑",/facilities/pi-basketball.png,Active
471,深水埗,歌和老街公園,九龍塘歌和老街17號,,"公園, 緩跑徑/健身徑",/facilities/pi-basketball.png,Active
472,深水埗,荔枝角公園,荔枝角荔灣道1號,https://map.gov.hk/gm/gmid/wpAN17dM0g?lg=tc,"共融遊樂設施,露天劇場,籃球場,門球場,手球場,硬地球場,緩跑徑/健身徑,公園,滑板場,網球場,排球場",/facilities/pi-basketball.png,Active
474,深水埗,南昌公園,九龍深旺道20號,https://www.map.gov.hk/gm/gmid/areSw6Rl3I?lg=tc,"共融遊樂設施,長者健身園地,健身園地",/facilities/pi-basketball.png,Active
475,深水埗,石硤尾公園,深水埗南昌街270號,,"公園, 長者健身園地,草地球場, 硬地球場, 籃球場, 網球場, 欖球場, 緩跑徑/健身徑",/facilities/pi-basketball.png,Active
476,深水埗,棠蔭街山邊休憩處,石硤尾棠蔭街,,"狗公園/寵物公園,長者健身園地,休憩處",/facilities/pi-basketball.png,Active
473,深水埗,龍翔道眺望處,龍翔道,,寵物共享公園,/facilities/md-pets.jpeg,Active
477,深水埗,永康街休憩花園,永康街,,寵物共享公園,/facilities/md-pets.jpeg,Active
498,深水埗,通州街公園,深水埗通州街163號,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
512,黃大仙,彩虹道遊樂場,新蒲崗彩虹道150號,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
500,黃大仙,鳳德公園,九龍黃大仙鳳德道42號,https://map.gov.hk/gm/gmid/4WX0os0I1H?lg=tc,"公園, 共融遊樂設施,長者健身園地",/facilities/pi-basketball.png,Active
503,黃大仙,獅子山公園,九龍黃大仙竹園道,https://www.map.gov.hk/gm/gmid/P5fuf2N5u4?lg=tc,"公園, 共融遊樂設施,長者健身園地",/facilities/pi-basketball.png,Active
